STATION,NAME,DATE,TAVG,LATITUDE,LONGITUDE
USC00042294,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",1963.0,58.0,38.5349,-121.7761
USW00023066,"GRAND JUNCTION WALKER FIELD, CO US",1963.0,53.1,39.13437,-108.54081
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1963.0,51.0,42.36057,-71.00975
USW00013968,"TULSA INTERNATIONAL AIRPORT, OK US",1963.0,61.6,36.19854,-95.87825
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1963.0,51.8,47.44467,-122.31442
USW00025309,"JUNEAU AIRPORT, AK US",1963.0,41.5,58.354,-134.55606
USW00023009,"ROSWELL INDUSTRIAL AIR PARK, NM US",1963.0,61.2,33.30735,-104.50817
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1963.0,74.7,25.78805,-80.31694
USW00013880,"CHARLESTON INTL. AIRPORT, SC US",1963.0,64.2,32.89945,-80.0407
USW00023034,"SAN ANGELO MATHIS FIELD AIRPORT, TX US",1963.0,66.9,31.35172,-100.4948
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",1963.0,48.5,41.93742,-72.68202
USW00003870,"GRNVL SPART INTERNATIONAL AIRPORT, SC US",1963.0,60.2,34.90614,-82.21253
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1963.0,47.4,41.40568,-81.85191
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",1963.0,56.1,37.51154,-77.32338
USC00237963,"SPICKARD 7 W, MO US",1963.0,52.8,40.2472,-93.7158
USW00013958,"AUSTIN CAMP MABRY, TX US",1963.0,69.2,30.3208,-97.7604
USW00013963,"LITTLE ROCK AIRPORT ADAMS FIELD, AR US",1963.0,61.8,34.72727,-92.2358
USW00012916,"NEW ORLEANS AIRPORT, LA US",1963.0,67.1,29.99755,-90.27772
